#one-scaled MTG generated by module "trees"								
CODE:	FORM-A							
								
CLASSES:								
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION				
$	0	FREE      	FREE      	IMPLICIT				
N	1	CONNECTED 	FREE      	IMPLICIT				
V	2	NONE      	FREE      	EXPLICIT				
								
DESCRIPTION:								
LEFT	RIGHT	RELTYPE	MAX					
V	V	+	?					
V	V	<	?					
								
FEATURES:								
NAME	TYPE							
								
Length	INT							
HalfNbCat	INT							
HalfNbLeaves	INT							
IN	INT							
								
MTG:								
ENTITY-CODE					Length	HalfNbCat	HalfNbLeaves	IN
/N0								
		+V18			20	1	0	1
		^<V19			103	2	2	4
		^<V20			90	2	2	4
		^<V21			100	2	2	4
		^<V22			97	2	2	4
		^<V23			137	2	3	5
			+V24		14	1	0	1
			^<V25		52	2	1	3
			+V26		16	1	0	1
			^<V27		66	2	1	3
		^<V28			83	2	2	4
	^<V29				90	2	2	4
	^<V30				87	2	2	4
		+V31			23	1	0	1
		^<V32			74	2	1	3
		^<V33			104	2	2	4
		^<V34			89	2	2	4
			+V35		11	1	0	1
			^<V36		35	6	1	6
		^<V37			77	2	2	4
		^<V38			76	3	2	4
		+V39			25	1	0	1
		^<V40			73	2	1	3
		^<V41			107	2	2	4
		^<V42			73	2	2	4
		^<V43			96	2	2	4
			+V44		17	1	0	1
			^<V45		69	2	1	3
			^<V46		43	2	1	3
			^<V47		38	2	1	3
			+V48		12	1	0	1
			^<V49		63	2	1	3
			^<V50		38	2	1	3
			^<V51		47	2	1	3
		^<V52			108	2	2	4
		^<V53			106	3	2	5
		^<V54			104	2	2	4
	^<V55				90	3	1	4
	^<V56				162	3	3	6
	^<V57				137	5	3	8
		+V58			81	1	1	2
		^<V59			125	4	2	5
		^<V60			126	3	2	5
			+V61		22	1	0	1
			^<V62		84	2	1	3
			^<V63		51	2	1	3
			+V64		16	1	0	1
			^<V65		9	3	0	3
			^<V66		75	2	1	3
		^<V67			155	3	2	5
		^<V68			131	3	2	5
			+V69		15	1	0	1
			+V70		15	1	0	1
		+V71			75	1	1	2
		^<V72			120	4	1	5
		^<V73			152	3	2	5
			+V74		13	1	0	1
			^<V75		105	2	1	3
			+V76		15	1	0	1
			^<V77		7	2	0	2
		^<V78			143	3	2	5
		+V79			35	1	0	1
		^<V80			57	3	1	4
		+V81			40	1	0	1
		^<V82			68	3	1	4
		^<V83			80	2	1	3
		^<V84			124	3	2	5
